καὶπανταχῆ#καὶ πανταχῆ
ὃςἀφορίζει#ὃς ἀφορίζει
ἀλλὰἐν#ἀλλὰ ἐν
ἔγγισταμοίρας#ἔγγιστα μοίρας
πάντωνκαθ'#πάντων καθ
κύκλωντό#κύκλων τό
δὲμεγίστη#δὲ μεγίστη
δύνοντοςἐκεῖ#δύνοντος ἐκεῖ
τὰλοιπὰ#τὰ λοιπὰ
κέντρονσημείου#κέντρον σημείου
πάλιντῷ#πάλιν τῷ
εἴητὸ#εἴη τὸ
περιφέρειαιἥ#περιφέρειαι ἥ
ἐγκλίσειςθεωρουμένων#ἐγκλίσεις θεωρουμένων
ἰσημερινὴνἡμέραν#ἰσημερινὴν ἡμέραν
τοῦδιδομένου#τοῦ διδομένου
ἐπειδήπερἡ#ἐπειδήπερ ἡ
ἤτοιἀεὶ#ἤτοι ἀεὶ
ἣναἱ#ἣ ναἱ
προκειμένῳπαραλλήλῳ#προκειμένῳ παραλλήλῳ
γίνεταιεὐθείας#γίνεται εὐθείας
πόσαςμοίρας#πόσας μοίρας
μεσημβρίανμηδὲ#μεσημβρίαν μηδὲ
ἰσημερινοῦἐπὶ#ἰσημερινοῦ ἐπὶ
ἄνισοιδύο#ἄνισοι δύο
οὐκέτ'ἂν#οὐκέτ' ἂν
ὑποκειμένωντῶν#ὑποκειμένων τῶν
καὶἀκόλουθον#καὶ ἀκόλουθον
τῶνκαθ'#τῶν καθ'
ἐποίειπάντοτε#ἐποίει πάντοτε
γωνίανπεριεχόντων#γωνίαν περιεχόντων
τῆςὀρθῆς#τῆς ὀρθῆς
μέροςγινομένας#μέρος γινομένας
τετῶν#τε τῶν
πρότερονκαὶ#πρότερον καὶ
ἰχθύωνδωδεκατημόριον#ἰχθύων δωδεκατημόριον
ἐλάττονακαὶ#ἐλάττονα καὶ
ἐστινἐνταῦθα#ἐστιν ἐνταῦθα
γὰρσυγχωρήσωμεν#γὰρ συγχωρήσωμεν
ταὐτὰδὲ#ταὐτὰ δὲ
μείζονοςκαὶ#μείζονος καὶ
μὴφαινομένων#μὴ φαινομένων
περιφερείαςγίνεται#περιφερείας γίνεται
μοίραςκαὶ#μοίρας καὶ
γὰρπάλιν#γὰρ πάλιν
προαπεδείχθημοιρῶν#προαπεδείχθη μοιρῶν
ἀδιστάκτωςἐπιλελογισμένης#ἀδιστάκτως ἐπιλελογισμένης
ἐφ'ἑνὸς#ἐφ' ἑνὸς
κύκλουπεριφέρειαι#κύκλου περιφέρειαι
καλούμεναδὲ#καλούμενα δὲ
αὐτῶνἑκάστη#αὐτῶν ἑκάστη
ἑξῆςἐπὶ#ἑξῆς ἐπὶ
ἄνευδιδασκαλίας#ἄνευ διδασκαλίας
τὸνμακρότερον#τὸν μακρότερον
δὲμηδέτερον#δὲ μηδέτερον
ἐπὶδύο#ἐπὶ δύο
ὅτικαὶ#ὅτι καὶ
καὶἰσημερινοῦ#καὶ ἰσημερινοῦ
μόνοςδὲ#μόνος δὲ
συναναφερομένηναὐτῇ#συναναφερομένην αὐτῇ
μέρητοῦ#μέρη τοῦ
μὴκατὰ#μὴ κατὰ
κατὰλέξιν#κατὰ λέξιν
αἱπλευραὶ#αἱ πλευραὶ
τροπαῖςπολὺ#τροπαῖς πολὺ
ἐκφανεῖςποιοῦντες#ἐκφανεῖς ποιοῦντες
καὶἄκρου#καὶ ἄκρου
περιόδουπροηγούμενον#περιόδου προηγούμενον
ἰσημερινὴσκιὰ#ἰσημερινὴ σκιὰ
πλοκάμῳἐπὶ#πλοκάμῳ ἐπὶ
φθαρτὰὅλως#φθαρτὰ ὅλως
ἔσταισημεῖα#ἔσται σημεῖα
ὑποκειμένῳἐπιπέδῳ#ὑποκειμένῳ ἐπιπέδῳ
μεσουρανήσεσινἀσκίους#μεσουρανήσεσιν ἀσκίους
κύκλοιἀνίσους#κύκλοι ἀνίσους
πουμήτε#που μήτε
καθόλουτῶν#καθόλου τῶν
ἴσωντῆς#ἴσων τῆς
δεκαμοιρίαςποιησάμενοι#δεκαμοιρίας ποιησάμενοι
γραφῶσίτινες#γραφῶσί τινες
θεωρίαςπάντα#θεωρίας πάντα
μέροςὀφειλόντων#μέρος ὀφειλόντων
καὶεὐκινητοτάτης#καὶ εὐκινητοτάτης
σφαίραςδιχοτομεῖν#σφαίρας διχοτομεῖν
ἔγγισταὑπάρχον#ἔγγιστα ὑπάρχον
χειμερινὸνλέγεται#χειμερινὸν λέγεται
τῷμέσῳ#τῷ μέσῳ
γινομένηνγωνίαν#γινομένην γωνίαν
τιςἐξεταστικῶς#τις ἐξεταστικῶς
τρισὶνπλευραῖς#τρισὶν πλευραῖς
τὸἀμφοτέρους#τὸ ἀμφοτέρους
μικρομερεστέραςμηδενὶ#μικρομερεστέρας μηδενὶ
αὐτὴδέδοται#αὐτὴ δέδοται
γωνίαςἤχθω#γωνίας ἤχθω
κεῖνταιδύο#κεῖνται δύο
πειρασόμεθαδιὰ#πειρασόμεθα διὰ
κυλινδρίωνἀκλινῆ#κυλινδρίωνἀ κλινῆ
τμήματαμείζονα#τμήματα μείζονα
